Date,Price,Open,High,Low,Change %
2/5/1992,24.802,24.802,24.802,24.802,0.00%
2/6/1992,24.802,24.802,24.802,24.802,0.00%
2/7/1992,24.802,24.802,24.802,24.802,0.00%
2/10/1992,24.802,24.802,24.802,24.802,0.00%
2/11/1992,24.802,24.802,24.802,24.802,0.00%
2/12/1992,24.802,24.802,24.802,24.802,0.00%
2/13/1992,24.802,24.802,24.802,24.802,0.00%
2/14/1992,24.802,24.802,24.802,24.802,0.00%
2/17/1992,24.802,24.802,24.802,24.802,0.00%
2/18/1992,24.802,24.802,24.802,24.802,0.00%
2/19/1992,24.802,24.802,24.802,24.802,0.00%
2/20/1992,24.802,24.802,24.802,24.802,0.00%
2/21/1992,24.802,24.802,24.802,24.802,0.00%
2/24/1992,24.802,24.802,24.802,24.802,0.00%
2/25/1992,24.802,24.802,24.802,24.802,0.00%
2/26/1992,24.802,24.802,24.802,24.802,0.00%
2/27/1992,24.802,24.802,24.802,24.802,0.00%
2/28/1992,24.802,24.802,24.802,24.802,0.00%
3/2/1992,24.762,24.762,24.762,24.762,-0.16%
3/3/1992,24.792,24.792,24.792,24.792,0.12%
3/4/1992,24.792,24.792,24.792,24.792,0.00%
3/5/1992,24.792,24.792,24.792,24.792,0.00%
3/6/1992,24.792,24.792,24.792,24.792,0.00%
3/9/1992,24.792,24.792,24.792,24.792,0.00%
3/10/1992,24.842,24.842,24.842,24.842,0.20%
3/11/1992,24.842,24.842,24.842,24.842,0.00%
3/12/1992,24.842,24.842,24.842,24.842,0.00%
3/13/1992,24.842,24.842,24.842,24.842,0.00%
3/16/1992,24.962,24.962,24.962,24.962,0.48%
3/17/1992,24.962,24.962,24.962,24.962,0.00%
3/18/1992,24.962,24.962,24.962,24.962,0.00%
3/19/1992,24.962,24.962,24.962,24.962,0.00%
3/20/1992,24.962,24.962,24.962,24.962,0.00%
3/23/1992,24.962,24.962,24.962,24.962,0.00%
3/24/1992,24.962,24.962,24.962,24.962,0.00%
3/25/1992,24.962,24.962,24.962,24.962,0.00%
3/26/1992,25.042,25.042,25.042,25.042,0.32%
3/27/1992,25.042,25.042,25.042,25.042,0.00%
3/30/1992,25.042,25.042,25.042,25.042,0.00%
3/31/1992,25.042,25.042,25.042,25.042,0.00%
4/1/1992,25.042,25.042,25.042,25.042,0.00%
4/2/1992,25.042,25.042,25.042,25.042,0.00%
4/3/1992,25.042,25.042,25.042,25.042,0.00%
4/6/1992,25.042,25.042,25.042,25.042,0.00%
4/7/1992,25.042,25.042,25.042,25.042,0.00%
4/8/1992,25.042,25.042,25.042,25.042,0.00%
4/9/1992,25.042,25.042,25.042,25.042,0.00%
4/10/1992,25.042,25.042,25.042,25.042,0.00%
4/13/1992,25.042,25.042,25.042,25.042,0.00%
4/14/1992,25.042,25.042,25.042,25.042,0.00%
4/15/1992,25.042,25.042,25.042,25.042,0.00%
4/16/1992,25.112,25.112,25.112,25.112,0.28%
4/17/1992,25.113,25.113,25.113,25.113,0.00%
4/20/1992,25.113,25.113,25.113,25.113,0.00%
4/21/1992,25.113,25.113,25.113,25.113,0.00%
4/22/1992,25.113,25.113,25.113,25.113,0.00%
4/23/1992,25.113,25.113,25.113,25.113,0.00%
4/24/1992,25.113,25.113,25.113,25.113,0.00%
4/27/1992,25.113,25.113,25.113,25.113,0.00%
4/28/1992,25.113,25.113,25.113,25.113,0.00%
4/29/1992,25.113,25.113,25.113,25.113,0.00%
4/30/1992,25.113,25.113,25.113,25.113,0.00%
5/1/1992,25.113,25.113,25.113,25.113,0.00%
5/4/1992,25.113,25.113,25.113,25.113,0.00%
5/5/1992,25.163,25.163,25.163,25.163,0.20%
5/6/1992,25.163,25.163,25.163,25.163,0.00%
5/7/1992,25.163,25.163,25.163,25.163,0.00%
5/8/1992,25.163,25.163,25.163,25.163,0.00%
5/11/1992,25.163,25.163,25.163,25.163,0.00%
5/12/1992,25.163,25.163,25.163,25.163,0.00%
5/13/1992,25.163,25.163,25.163,25.163,0.00%
5/14/1992,25.163,25.163,25.163,25.163,0.00%
5/15/1992,25.163,25.163,25.163,25.163,0.00%
5/18/1992,25.163,25.163,25.163,25.163,0.00%
5/19/1992,25.163,25.163,25.163,25.163,0.00%
5/20/1992,25.163,25.163,25.163,25.163,0.00%
5/21/1992,25.163,25.163,25.163,25.163,0.00%
5/22/1992,25.163,25.163,25.163,25.163,0.00%
5/25/1992,25.163,25.163,25.163,25.163,0.00%
5/26/1992,25.163,25.163,25.163,25.163,0.00%
5/27/1992,25.163,25.163,25.163,25.163,0.00%
5/28/1992,25.163,25.163,25.163,25.163,0.00%
5/29/1992,25.163,25.163,25.163,25.163,0.00%
6/1/1992,25.163,25.163,25.163,25.163,0.00%
6/2/1992,25.163,25.163,25.163,25.163,0.00%
6/3/1992,25.163,25.163,25.163,25.163,0.00%
6/4/1992,25.163,25.163,25.163,25.163,0.00%
6/5/1992,25.163,25.163,25.163,25.163,0.00%
6/8/1992,25.163,25.163,25.163,25.163,0.00%
6/9/1992,25.193,25.193,25.193,25.193,0.12%
6/10/1992,25.193,25.193,25.193,25.193,0.00%
6/11/1992,25.193,25.193,25.193,25.193,0.00%
6/12/1992,25.193,25.193,25.193,25.193,0.00%
6/15/1992,25.193,25.193,25.193,25.193,0.00%
6/16/1992,25.193,25.193,25.193,25.193,0.00%
6/17/1992,25.193,25.193,25.193,25.193,0.00%
6/18/1992,25.193,25.193,25.193,25.193,0.00%
6/19/1992,25.193,25.193,25.193,25.193,0.00%
6/22/1992,25.193,25.193,25.193,25.193,0.00%
6/23/1992,25.193,25.193,25.193,25.193,0.00%
6/24/1992,25.193,25.193,25.193,25.193,0.00%
6/25/1992,25.193,25.193,25.193,25.193,0.00%
6/26/1992,25.193,25.193,25.193,25.193,0.00%
6/29/1992,25.193,25.193,25.193,25.193,0.00%
6/30/1992,25.193,25.193,25.193,25.193,0.00%
7/1/1992,25.193,25.193,25.193,25.193,0.00%
7/2/1992,25.193,25.193,25.193,25.193,0.00%
7/3/1992,25.193,25.193,25.193,25.193,0.00%
7/6/1992,25.193,25.193,25.193,25.193,0.00%
7/7/1992,25.193,25.193,25.193,25.193,0.00%
7/8/1992,25.193,25.193,25.193,25.193,0.00%
7/9/1992,25.193,25.193,25.193,25.193,0.00%
7/10/1992,25.193,25.193,25.193,25.193,0.00%
7/13/1992,25.193,25.193,25.193,25.193,0.00%
7/14/1992,25.193,25.193,25.193,25.193,0.00%
7/15/1992,25.193,25.193,25.193,25.193,0.00%
7/16/1992,25.193,25.193,25.193,25.193,0.00%
7/17/1992,25.193,25.193,25.193,25.193,0.00%
7/20/1992,25.193,25.193,25.193,25.193,0.00%
7/21/1992,25.193,25.193,25.193,25.193,0.00%
7/22/1992,25.193,25.193,25.193,25.193,0.00%
7/23/1992,25.193,25.193,25.193,25.193,0.00%
7/24/1992,25.193,25.193,25.193,25.193,0.00%
7/27/1992,25.193,25.193,25.193,25.193,0.00%
7/28/1992,25.193,25.193,25.193,25.193,0.00%
7/29/1992,25.193,25.193,25.193,25.193,0.00%
7/30/1992,25.193,25.193,25.193,25.193,0.00%
7/31/1992,25.193,25.193,25.193,25.193,0.00%
8/3/1992,25.193,25.193,25.193,25.193,0.00%
8/4/1992,25.193,25.193,25.193,25.193,0.00%
8/5/1992,25.193,25.193,25.193,25.193,0.00%
8/6/1992,25.193,25.193,25.193,25.193,0.00%
8/7/1992,25.193,25.193,25.193,25.193,0.00%
8/10/1992,25.193,25.193,25.193,25.193,0.00%
8/11/1992,25.193,25.193,25.193,25.193,0.00%
8/12/1992,25.193,25.193,25.193,25.193,0.00%
8/13/1992,25.193,25.193,25.193,25.193,0.00%
8/14/1992,25.193,25.193,25.193,25.193,0.00%
8/17/1992,25.193,25.193,25.193,25.193,0.00%
8/18/1992,25.193,25.193,25.193,25.193,0.00%
8/19/1992,25.193,25.193,25.193,25.193,0.00%
8/20/1992,25.193,25.193,25.193,25.193,0.00%
8/21/1992,25.193,25.193,25.193,25.193,0.00%
8/24/1992,25.193,25.193,25.193,25.193,0.00%
8/25/1992,25.193,25.193,25.193,25.193,0.00%
8/26/1992,25.193,25.193,25.193,25.193,0.00%
8/27/1992,25.193,25.193,25.193,25.193,0.00%
8/28/1992,25.193,25.193,25.193,25.193,0.00%
8/31/1992,25.193,25.193,25.193,25.193,0.00%
9/1/1992,25.193,25.193,25.193,25.193,0.00%
9/2/1992,25.193,25.193,25.193,25.193,0.00%
9/3/1992,25.193,25.193,25.193,25.193,0.00%
9/4/1992,25.193,25.193,25.193,25.193,0.00%
9/7/1992,25.193,25.193,25.193,25.193,0.00%
9/8/1992,25.193,25.193,25.193,25.193,0.00%
